name,dn,orig,dest,t,link,x,s,v
0,5,1802518268,1870091825,355,Firoz Shah Road-998790357,1036.194028492966,-1.0,13.888888888888891
0,5,1802518268,1870091825,360,Akbar Road-24577385,20.865997856087457,705.2434325823209,13.888888888888868
0,5,1802518268,1870091825,365,Akbar Road-24577385,90.3104423005319,705.2434325823209,13.88888888888889
0,5,1802518268,1870091825,370,Akbar Road-24577385,159.75488674497635,705.2434325823209,13.88888888888889
0,5,1802518268,1870091825,375,Akbar Road-24577385,229.19933118942077,705.243432582321,13.888888888888886
0,5,1802518268,1870091825,380,Akbar Road-24577385,298.64377563386523,705.243432582321,13.888888888888891
0,5,1802518268,1870091825,385,Akbar Road-24577385,368.0882200783097,705.243432582321,13.888888888888891
0,5,1802518268,1870091825,390,Akbar Road-24577385,437.53266452275415,705.2434325823208,13.888888888888891
0,5,1802518268,1870091825,395,Akbar Road-24577385,506.9771089671986,-1.0,13.888888888888891
0,5,1802518268,1870091825,400,Akbar Road-24577385,576.421553411643,-1.0,13.88888888888888
0,5,1802518268,1870091825,405,Akbar Road-24577385,645.8659978560875,-1.0,13.888888888888891
0,5,1802518268,1870091825,410,Akbar Road-24577385,715.3104423005319,-1.0,13.888888888888891
0,5,1802518268,1870091825,415,Akbar Road-24577385,784.7548867449764,-1.0,13.888888888888891
0,5,1802518268,1870091825,420,Akbar Road-24577385,854.1993311894208,-1.0,13.888888888888891
0,5,1802518268,1870091825,425,Akbar Road-24577385,923.6437756338653,-1.0,13.888888888888891
0,5,1802518268,1870091825,430,Akbar Road-24577385,993.0882200783097,-1.0,13.888888888888891
0,5,1802518268,1870091825,435,Akbar Road-24577385,1062.5326645227542,-1.0,13.888888888888891
0,5,1802518268,1870091825,440,Akbar Road-24577385,1131.9771089671985,-1.0,13.888888888888868
0,5,1802518268,1870091825,445,Prithviraj Road-664985710-reverse,51.54102374678223,705.243432582321,13.888888888888868
0,5,1802518268,1870091825,450,Prithviraj Road-664985710-reverse,120.98546819122667,705.243432582321,13.88888888888889
0,5,1802518268,1870091825,455,Prithviraj Road-664985710-reverse,190.42991263567112,705.243432582321,13.88888888888889
0,5,1802518268,1870091825,460,Prithviraj Road-664985710-reverse,259.87435708011554,-1.0,13.888888888888886
0,5,1802518268,1870091825,465,Prithviraj Road-664985710-reverse,329.31880152456,-1.0,13.888888888888891
0,5,1802518268,1870091825,470,Prithviraj Road-664985710-reverse,398.76324596900446,-1.0,13.888888888888891
0,5,1802518268,1870091825,475,Prithviraj Road-664985710-reverse,468.2076904134489,-1.0,13.888888888888891
0,5,1802518268,1870091825,480,Prithviraj Road-664985710-reverse,537.6521348578933,-1.0,13.88888888888888
0,5,1802518268,1870091825,485,Prithviraj Road-664985710-reverse,607.0965793023378,-1.0,13.888888888888891
0,5,1802518268,1870091825,490,Prithviraj Road-664985710-reverse,676.5410237467822,-1.0,13.888888888888891
0,5,1802518268,1870091825,495,Prithviraj Road-664985710-reverse,745.9854681912267,-1.0,13.888888888888891
0,5,1802518268,1870091825,500,Prithviraj Road-664985710-reverse,815.4299126356711,-1.0,13.888888888888891
0,5,1802518268,1870091825,505,Prithviraj Road-664985710-reverse,884.8743570801156,-1.0,13.888888888888891
0,5,1802518268,1870091825,510,Prithviraj Road-581989171,35.243381961618866,-1.0,13.888888888888891
0,5,1802518268,1870091825,515,Prithviraj Road-581989171,104.68782640606331,-1.0,13.88888888888889
0,5,1802518268,1870091825,520,Prithviraj Road-581989171,174.13227085050775,-1.0,13.88888888888889
0,5,1802518268,1870091825,525,Prithviraj Road-581989171,243.57671529495218,-1.0,13.888888888888886
0,5,1802518268,1870091825,530,Prithviraj Road-581989171,313.02115973939664,-1.0,13.888888888888891
0,5,1802518268,1870091825,535,Prithviraj Road-581989171,382.4656041838411,-1.0,13.888888888888891
0,5,1802518268,1870091825,540,Prithviraj Road-581989171,451.91004862828555,-1.0,13.888888888888891
0,5,1802518268,1870091825,545,Prithviraj Road-581989171,521.35449307273,-1.0,13.88888888888888
0,5,1802518268,1870091825,550,Prithviraj Road-581989171,590.7989375171744,-1.0,13.888888888888891
0,5,1802518268,1870091825,555,Prithviraj Road-581989171,660.2433819616189,-1.0,13.888888888888891
0,5,1802518268,1870091825,560,Prithviraj Road-581989171,729.6878264060633,-1.0,13.888888888888891
0,5,1802518268,1870091825,565,Prithviraj Road-581989171,799.1322708505078,-1.0,13.888888888888891
0,5,1802518268,1870091825,570,Prithviraj Road-581989171,868.5767152949522,-1.0,13.888888888888891
0,5,1802518268,1870091825,575,Prithviraj Road-581989171,938.0211597393967,-1.0,13.888888888888891
0,5,1802518268,1870091825,580,Prithviraj Road-581989171,1007.4656041838412,-1.0,13.888888888888891
0,5,1802518268,1870091825,585,Prithviraj Road-581989171,1076.9100486282855,-1.0,13.888888888888868
0,5,1802518268,1870091825,590,Prithviraj Road-581989171,1146.3544930727298,-1.0,13.888888888888868
0,5,1802518268,1870091825,595,Prithviraj Road-581989171,1215.7989375171742,-1.0,13.888888888888868
0,5,1802518268,1870091825,600,Prithviraj Road-581989171,1285.2433819616185,-1.0,13.888888888888868
0,5,1802518268,1870091825,605,Prithviraj Road-581989171,1354.6878264060629,-1.0,13.888888888888868
0,5,1802518268,1870091825,610,Prithviraj Road-581989171,1424.1322708505072,-1.0,13.888888888888868
0,5,1802518268,1870091825,610,trip_end,-1.0,-1.0,-1.0
1,5,1802518268,1870091825,185,Babu Ram Solanki Marg-714986189,0.0,-1.0,13.88888888888889
1,5,1802518268,1870091825,190,Babu Ram Solanki Marg-714986189,69.44444444444444,-1.0,13.88888888888889
1,5,1802518268,1870091825,195,Babu Ram Solanki Marg-714986189,138.88888888888889,-1.0,13.88888888888889
1,5,1802518268,1870091825,200,Babu Ram Solanki Marg-714986189,208.33333333333331,-1.0,13.888888888888886
1,5,1802518268,1870091825,205,Babu Ram Solanki Marg-714986189,277.77777777777777,-1.0,13.888888888888891
