orig,dest,total_trips,completed_trips,free_travel_time,average_travel_time,stddiv_travel_time,shortest_distance,average_distance_traveled_per_veh,stddiv_distance_traveled_per_veh
1802518268,1870091825,195,170,515.310044968267,525.5882352941177,6.389870877176597,7157.083957892598,6919.140012278805,1078.7266185176775
267074512,910347050,195,195,45.0262799042798,50.0,0.0,625.3649986705527,625.3649986705528,1.1368683772161603e-13
6404933442,5716610639,195,190,89.90013549455152,95.0,0.0,1248.6129929798824,1277.4889641823652,178.00344122991223
1863231313,938622410,195,175,421.2216973971174,425.0,0.0,5850.3013527377425,5733.297375277443,519.9322435220136
9052026098,1524384434,195,175,439.94783135561136,446.0,11.88035593502388,6110.386546605714,5995.569867506077,690.6071350696527
10302298915,563659651,195,195,76.70706287542632,80.0,0.0,1065.37587326981,1066.4344855931377,0.7057415488850612
6345186422,292460406,195,180,348.0685261269757,354.1666666666667,6.718548123582125,4834.285085096884,4842.055103316448,476.5338150046376
915472647,292460406,195,160,664.5983947263974,672.8125,4.831132760543846,9230.533260088854,8765.8677247283,1420.281583149044
4083436490,910347038,195,180,342.29434298657503,350.0,11.180339887498949,4754.088097035765,4740.350172946578,430.7557858450793
6660061352,301037181,195,165,523.270537415732,528.030303030303,3.468340346139272,7267.646352996277,7016.348594916328,1097.7080155410188
939086513,4083436490,195,185,220.7933565786508,231.0810810810811,10.726018828640232,3066.5743969257055,3123.5348344488334,210.7774222894627
267197876,6437715963,195,185,191.66467693693647,195.0,0.0,2662.009401901896,2660.166140482498,65.94844091443676
6758692739,6723441908,195,170,460.2349066205635,465.0,0.0,6392.151480841159,6216.89926395222,813.6982538191363
4083436490,1524384434,195,180,349.95867604883233,352.9166666666667,2.7322660517925,4860.537167344894,4764.836370917088,457.95919062568674
3744432425,939091064,195,180,341.0024660413123,345.0,0.0,4736.145361684893,4639.806965315093,450.79831991048616
